CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
0,0,0,0,1,1,0,0,1,1,4,1,0,0,2,0,2,1,2892,0,0,2,18,0
11111,0,0,0,1,1,0,0,0,1,47,0,0,0,2,1,3,0,1376,7187,0,2,53,0
22222,0,0,0,1,1,3,0,1,1,30,0,0,0,1,0,3,0,1376,0,1,4,21,3
33333,0,0,0,1,1,2,0,0,1,32,1,0,0,1,1,2,1,2015,7256,1,4,48,5
53605,0,0,0,1,1,2,0,0,1,4,1,0,0,1,1,1,0,2015,11293,0,2,56,0
54716,0,0,0,1,1,2,0,1,1,32,1,0,0,1,0,3,1,2015,0,0,1,24,0
55827,0,0,0,1,1,2,0,1,1,39,1,0,0,2,1,3,0,1560,754,0,2,51,0
56938,0,0,0,1,1,0,0,1,1,4,0,0,0,0,1,3,0,1376,12177,1,1,44,5
1,0,0,0,1,1,3,0,1,1,27,1,0,0,1,0,3,0,2892,0,1,1,20,4
1112,0,0,0,1,1,2,3,1,1,32,1,0,0,0,0,1,0,2015,0,1,1,32,4
2223,0,0,0,1,1,0,0,1,1,32,0,0,0,0,0,2,1,1376,0,0,1,21,0
4445,0,0,0,1,1,3,3,1,1,39,1,0,0,0,1,1,0,2892,17967,1,1,55,8
5556,0,0,0,1,1,0,2,0,1,32,1,0,0,1,1,1,0,2892,14527,1,2,27,7
6667,0,0,0,1,1,0,3,0,1,47,0,0,0,2,0,0,0,1376,0,0,1,18,0
8889,0,0,0,1,1,2,0,1,1,22,1,0,0,0,1,2,1,2015,7123,0,2,51,0
10000,0,0,0,1,1,3,0,0,1,8,0,0,0,2,1,2,1,1376,11544,0,2,54,0
11112,0,0,0,1,1,2,0,1,1,49,1,0,0,0,1,2,1,2015,4535,1,1,38,4
12223,0,0,0,1,1,0,0,1,1,13,1,0,0,0,1,2,1,2892,10806,0,1,46,0
